code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.01157,2021-03-16 10:42:00,11.3,11.32,11.32,11.28,0.0,0.0,103600,1170636.0,0.35460992907802236,11.28
HK.01157,2021-03-16 10:43:00,11.32,11.32,11.32,11.32,0.0,0.0,0,0.0,0.0,11.32
HK.01157,2021-03-16 10:44:00,11.3,11.34,11.34,11.3,0.0,0.0,73400,831404.0,0.1766784452296782,11.32
HK.01157,2021-03-16 10:45:00,11.34,11.34,11.34,11.34,0.0,0.0,0,0.0,0.0,11.34
HK.01157,2021-03-16 10:46:00,11.34,11.36,11.36,11.34,0.0,0.0,36800,417408.0,0.17636684303350594,11.34
HK.01157,2021-03-16 10:47:00,11.36,11.3,11.36,11.3,0.0,0.0,36200,410540.0,-0.5281690140844958,11.36
HK.01157,2021-03-16 10:48:00,11.32,11.34,11.34,11.32,0.0,0.0,4800,54348.0,0.3539823008849482,11.3
HK.01157,2021-03-16 10:49:00,11.32,11.34,11.34,11.32,0.0,0.0,7800,88320.0,0.0,11.34
HK.01157,2021-03-16 10:50:00,11.34,11.32,11.34,11.32,0.0,0.0,800,9068.0,-0.17636684303350594,11.34
HK.01157,2021-03-16 10:51:00,11.34,11.4,11.4,11.32,0.0,0.0,250200,2840264.0,0.7067137809187285,11.32
HK.01157,2021-03-16 10:52:00,11.38,11.38,11.38,11.38,0.0,0.0,6200,70568.0,-0.1754385964912243,11.4
HK.01157,2021-03-16 10:53:00,11.4,11.4,11.42,11.38,0.0,0.0,17000,193724.0,0.17574692442881873,11.38
HK.01157,2021-03-16 10:54:00,11.4,11.4,11.4,11.4,0.0,0.0,24000,273600.0,0.0,11.4
HK.01157,2021-03-16 10:55:00,11.4,11.4,11.4,11.4,0.0,0.0,10200,116280.0,0.0,11.4
HK.01157,2021-03-16 10:56:00,11.4,11.42,11.42,11.4,0.0,0.0,45800,522364.0,0.1754385964912243,11.4
HK.01157,2021-03-16 10:57:00,11.42,11.42,11.42,11.42,0.0,0.0,9000,102780.0,0.0,11.42
HK.01157,2021-03-16 10:58:00,11.42,11.42,11.42,11.42,0.0,0.0,400,4568.0,0.0,11.42
HK.01157,2021-03-16 10:59:00,11.42,11.42,11.42,11.42,0.0,0.0,400,4568.0,0.0,11.42
HK.01157,2021-03-16 11:00:00,11.4,11.4,11.42,11.4,0.0,0.0,16400,186988.0,-0.17513134851137982,11.42
HK.01157,2021-03-16 11:01:00,11.42,11.46,11.46,11.4,0.0,0.0,78000,891816.0,0.5263157894736885,11.4
HK.01157,2021-03-16 11:02:00,11.46,11.46,11.46,11.46,0.0,0.0,400,4584.0,0.0,11.46
HK.01157,2021-03-16 11:03:00,11.44,11.44,11.46,11.42,0.0,0.0,29200,333965.6,-0.1745200698080397,11.46
HK.01157,2021-03-16 11:04:00,11.42,11.44,11.44,11.42,0.0,0.0,800,9148.0,0.0,11.44
HK.01157,2021-03-16 11:05:00,11.42,11.42,11.42,11.42,0.0,0.0,400,4568.0,-0.1748251748251711,11.44
HK.01157,2021-03-16 11:06:00,11.44,11.46,11.46,11.44,0.0,0.0,100400,1148848.0,0.3502626970227752,11.42
HK.01157,2021-03-16 11:07:00,11.44,11.44,11.44,11.44,0.0,0.0,17800,203632.0,-0.1745200698080397,11.46
HK.01157,2021-03-16 11:08:00,11.42,11.48,11.48,11.42,0.0,0.0,142800,1634096.0,0.34965034965035774,11.44
HK.01157,2021-03-16 11:09:00,11.48,11.48,11.48,11.48,0.0,0.0,0,0.0,0.0,11.48
HK.01157,2021-03-16 11:10:00,11.48,11.5,11.5,11.48,0.0,0.0,85800,985229.8,0.17421602787456072,11.48
HK.01157,2021-03-16 11:11:00,11.5,11.5,11.5,11.5,0.0,0.0,400,4600.0,0.0,11.5
HK.01157,2021-03-16 11:12:00,11.48,11.48,11.48,11.46,0.0,0.0,45000,516188.0,-0.17391304347825717,11.5
HK.01157,2021-03-16 11:13:00,11.46,11.46,11.46,11.46,0.0,0.0,1600,18356.0,-0.17421602787456072,11.48
HK.01157,2021-03-16 11:14:00,11.44,11.44,11.46,11.42,0.0,0.0,96800,1107424.0,-0.1745200698080397,11.46
HK.01157,2021-03-16 11:15:00,11.44,11.44,11.44,11.44,0.0,0.0,0,0.0,0.0,11.44
HK.01157,2021-03-16 11:16:00,11.42,11.42,11.44,11.42,0.0,0.0,71200,813180.0,-0.1748251748251711,11.44
HK.01157,2021-03-16 11:17:00,11.42,11.46,11.48,11.42,0.0,0.0,232000,2650648.0,0.3502626970227752,11.42
HK.01157,2021-03-16 11:18:00,11.44,11.46,11.46,11.44,0.0,0.0,8800,100684.0,0.0,11.46
HK.01157,2021-03-16 11:19:00,11.46,11.46,11.46,11.46,0.0,0.0,0,0.0,0.0,11.46
HK.01157,2021-03-16 11:20:00,11.44,11.46,11.48,11.44,0.0,0.0,29800,341480.0,0.0,11.46
HK.01157,2021-03-16 11:21:00,11.46,11.46,11.46,11.46,0.0,0.0,200,2296.0,0.0,11.46
HK.01157,2021-03-16 11:22:00,11.48,11.46,11.48,11.46,0.0,0.0,12800,146704.0,0.0,11.46
HK.01157,2021-03-16 11:23:00,11.44,11.46,11.46,11.44,0.0,0.0,178800,2045692.0,0.0,11.46
HK.01157,2021-03-16 11:24:00,11.46,11.46,11.46,11.46,0.0,0.0,0,0.0,0.0,11.46
HK.01157,2021-03-16 11:25:00,11.46,11.46,11.46,11.46,0.0,0.0,0,0.0,0.0,11.46
HK.01157,2021-03-16 11:26:00,11.46,11.46,11.46,11.46,0.0,0.0,1200,13752.0,0.0,11.46
HK.01157,2021-03-16 11:27:00,11.44,11.44,11.46,11.44,0.0,0.0,204200,2336228.0,-0.1745200698080397,11.46
HK.01157,2021-03-16 11:28:00,11.44,11.44,11.44,11.44,0.0,0.0,0,0.0,0.0,11.44
HK.01157,2021-03-16 11:29:00,11.44,11.44,11.46,11.44,0.0,0.0,13400,153332.0,0.0,11.44
HK.01157,2021-03-16 11:30:00,11.44,11.46,11.46,11.44,0.0,0.0,13000,148776.0,0.17482517482518664,11.44
HK.01157,2021-03-16 11:31:00,11.46,11.46,11.46,11.46,0.0,0.0,0,0.0,0.0,11.46
HK.01157,2021-03-16 11:32:00,11.46,11.46,11.46,11.46,0.0,0.0,1400,16044.0,0.0,11.46
HK.01157,2021-03-16 11:33:00,11.46,11.46,11.46,11.46,0.0,0.0,200,2292.0,0.0,11.46
HK.01157,2021-03-16 11:34:00,11.44,11.48,11.48,11.44,0.0,0.0,100000,1145988.0,0.1745200698080242,11.46
HK.01157,2021-03-16 11:35:00,11.44,11.48,11.48,11.44,0.0,0.0,10200,116728.0,0.0,11.48
HK.01157,2021-03-16 11:36:00,11.44,11.48,11.48,11.44,0.0,0.0,22400,256352.0,0.0,11.48
HK.01157,2021-03-16 11:37:00,11.46,11.46,11.46,11.46,0.0,0.0,1600,18336.0,-0.17421602787456072,11.48
HK.01157,2021-03-16 11:38:00,11.46,11.46,11.46,11.46,0.0,0.0,0,0.0,0.0,11.46
